SubjectAssgn,GenID,ExpAssgn,Vowel,Item,ItemType,RespNum,RespNum2,absRT,logAbsRT
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,794.2,2.899929883
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,0,0,783.69,2.894144305
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,1,100,959.08,2.981854835
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,1,100,608.45,2.784224895
a-i-subject-1,Subject1,a-i,a,a-4-square,diff,1,100,628.04,2.797987305
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,680.58,2.832879182
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,525.64,2.720688407
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,958.95,2.981795963
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,821.63,2.914676288
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,325.73,2.512857759
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,368.65,2.566614238
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,678.34,2.831447427
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,618.37,2.791248412
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,415.54,2.618612835
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,676.27,2.830120122
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,680.56,2.83286642
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,306.46,2.486373797
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,347.49,2.540942311
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,601.1,2.778946728
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,699.89,2.845029788
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,512.94,2.710066567
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,921.02,2.964269061
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,305.96,2.485664652
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,456.49,2.659431268
a-i-subject-1,Subject1,a-i,a,a-square-square,same,1,100,741.02,2.86982993
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,516.76,2.71328889
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,590.1,2.770925615
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,660.46,2.81984652
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,379.27,2.578948492
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,920.87,2.964198325
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,777.79,2.890862355
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,560.64,2.74868408
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,435.78,2.639267295
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,848.32,2.928559706
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,448.47,2.651733397
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,640.89,2.806783495
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,393.01,2.594403601
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,616.25,2.789756932
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,705.69,2.848613963
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,500.21,2.69915237
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,1044.08,3.018733777
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,568.59,2.754799217
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,945.6,2.975707464
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,433.48,2.636969065
a-i-subject-1,Subject1,a-i,i,i-2-2,same,1,100,303.66,2.482387588
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,476.36,2.677935287
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,492.97,2.692820491
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,497.72,2.696985092
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,554.35,2.743784052
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,515.27,2.712034858
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,565.11,2.752132992
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,1081.75,3.034126904
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,414.73,2.617765452
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,375.23,2.574297553
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,788.18,2.89662541
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,573.53,2.75855614
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,478.23,2.679636817
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,378.57,2.578146195
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,422.85,2.626186335
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,697.81,2.843737189
