Subject,Hem,Harm,Cond,Area,LinPwr,dBPwr
r1549,1-lh,1-Fm,2-Zero,3-Occ,1.00E+16,160.0043408
r1549,1-lh,1-Fm,3-HalfPi,1-AntTem,5.04E+15,157.0247362
r1549,1-lh,1-Fm,3-HalfPi,2-PosTem,1.83E+17,172.6223745
r1549,1-lh,1-Fm,3-HalfPi,3-Occ,1.16E+17,170.6419584
r1549,1-lh,1-Fm,4-Pi,1-AntTem,1.20E+14,140.7856556
r1549,1-lh,1-Fm,4-Pi,2-PosTem,3.75E+17,175.7412391
r1549,1-lh,1-Fm,4-Pi,3-Occ,2.23E+17,173.474276
r1549,1-lh,2-SecondHarm,1-Uni,1-AntTem,1.06E+14,140.2362279
r1549,1-lh,2-SecondHarm,1-Uni,2-PosTem,8.01E+15,159.0349152
r1549,1-lh,2-SecondHarm,1-Uni,3-Occ,5.12E+15,157.0967692
r1549,1-lh,2-SecondHarm,2-Zero,1-AntTem,7.49E+13,138.7426723
r1549,1-lh,2-SecondHarm,2-Zero,2-PosTem,1.53E+15,151.8520207
r1549,1-lh,2-SecondHarm,2-Zero,3-Occ,3.94E+15,155.9545213
r1549,1-lh,2-SecondHarm,3-HalfPi,1-AntTem,2.34E+12,123.6908592
r1549,1-lh,2-SecondHarm,3-HalfPi,2-PosTem,4.08E+15,156.10575
r1549,1-lh,2-SecondHarm,3-HalfPi,3-Occ,1.03E+15,150.1190861
r1549,1-lh,2-SecondHarm,4-Pi,1-AntTem,4.39E+14,146.4204882
r1549,1-lh,2-SecondHarm,4-Pi,2-PosTem,3.33E+15,155.2266589
r1549,1-lh,2-SecondHarm,4-Pi,3-Occ,6.68E+15,158.2504944
r1549,2-rh,1-Fm,1-Uni,1-AntTem,9.62E+12,129.8301252
r1549,2-rh,1-Fm,1-Uni,2-PosTem,3.92E+15,155.9333038
r1549,2-rh,1-Fm,1-Uni,3-Occ,2.62E+16,164.1805258
r1549,2-rh,1-Fm,2-Zero,1-AntTem,1.15E+15,150.6250678
r1549,2-rh,1-Fm,2-Zero,2-PosTem,5.38E+15,157.3094369
r1549,2-rh,1-Fm,2-Zero,3-Occ,5.93E+16,167.7315721
r1549,2-rh,1-Fm,3-HalfPi,1-AntTem,5.38E+14,147.3112925
r1549,2-rh,1-Fm,3-HalfPi,2-PosTem,1.35E+16,161.2933535
r1549,2-rh,1-Fm,3-HalfPi,3-Occ,1.93E+16,162.8623185
r1549,2-rh,1-Fm,4-Pi,1-AntTem,2.04E+12,123.0882043
r1549,2-rh,1-Fm,4-Pi,2-PosTem,2.84E+15,154.5331834
r1549,2-rh,1-Fm,4-Pi,3-Occ,1.49E+17,171.7339025
r1549,2-rh,2-SecondHarm,1-Uni,1-AntTem,7.10E+13,138.5122776
r1549,2-rh,2-SecondHarm,1-Uni,2-PosTem,4.59E+15,156.6180322
